Data;Taxa de juros - DI de 1 dia - futuro: vencimento em t+1 - (% a,a,) - Bolsa de Valores, Mercadorias e Futuros (BM&FBovespa) - BMF366_FUT1DI1366;
18/01/2002;18,988;
19/01/2002;
20/01/2002;
21/01/2002;18,989;
22/01/2002;18,966;
23/01/2002;18,963;
24/01/2002;19,026;
25/01/2002;
26/01/2002;
27/01/2002;
28/01/2002;19,054;
29/01/2002;19,031;
30/01/2002;19,041;
31/01/2002;19,05;
01/02/2002;19,054;
02/02/2002;
03/02/2002;
04/02/2002;19,083;
05/02/2002;19,076;
06/02/2002;19,021;
07/02/2002;18,987;
08/02/2002;19,292;
09/02/2002;
10/02/2002;
11/02/2002;
12/02/2002;
13/02/2002;18,96;
14/02/2002;18,963;
15/02/2002;18,932;
16/02/2002;
17/02/2002;
18/02/2002;18,935;
19/02/2002;18,934;
20/02/2002;19,065;
21/02/2002;18,811;
22/02/2002;18,799;
23/02/2002;
24/02/2002;
25/02/2002;18,795;
26/02/2002;18,8;
27/02/2002;18,794;
28/02/2002;
01/03/2002;18,719;
02/03/2002;
03/03/2002;
04/03/2002;18,718;
05/03/2002;18,932;
06/03/2002;18,835;
07/03/2002;18,661;
08/03/2002;18,633;
09/03/2002;
10/03/2002;
11/03/2002;18,612;
12/03/2002;18,578;
13/03/2002;18,538;
14/03/2002;18,616;
15/03/2002;18,528;
16/03/2002;
17/03/2002;
18/03/2002;18,493;
19/03/2002;18,448;
20/03/2002;18,328;
21/03/2002;18,554;
22/03/2002;18,587;
23/03/2002;
24/03/2002;
25/03/2002;18,556;
26/03/2002;18,58;
27/03/2002;18,578;
28/03/2002;18,56;
29/03/2002;
30/03/2002;
31/03/2002;
01/04/2002;18,447;
02/04/2002;18,412;
03/04/2002;18,379;
04/04/2002;18,404;
05/04/2002;18,66;
06/04/2002;
07/04/2002;
08/04/2002;18,366;
09/04/2002;18,334;
10/04/2002;18,336;
11/04/2002;18,325;
12/04/2002;18,29;
13/04/2002;
14/04/2002;
15/04/2002;18,308;
16/04/2002;18,31;
17/04/2002;18,285;
18/04/2002;18,427;
19/04/2002;18,413;
20/04/2002;
21/04/2002;
22/04/2002;18,457;
23/04/2002;18,443;
24/04/2002;18,42;
25/04/2002;18,418;
26/04/2002;18,436;
27/04/2002;
28/04/2002;
29/04/2002;18,398;
30/04/2002;37,333;
01/05/2002;
02/05/2002;18,422;
03/05/2002;18,431;
04/05/2002;
05/05/2002;
06/05/2002;18,376;
07/05/2002;18,35;
08/05/2002;18,31;
09/05/2002;18,291;
10/05/2002;18,279;
11/05/2002;
12/05/2002;
13/05/2002;18,334;
14/05/2002;18,342;
15/05/2002;18,327;
16/05/2002;18,306;
17/05/2002;18,316;
18/05/2002;
19/05/2002;
20/05/2002;18,339;
21/05/2002;18,267;
22/05/2002;18,252;
23/05/2002;18,213;
24/05/2002;18,279;
25/05/2002;
26/05/2002;
27/05/2002;18,28;
28/05/2002;18,321;
29/05/2002;18,153;
30/05/2002;
31/05/2002;17,953;
01/06/2002;
02/06/2002;
03/06/2002;18,116;
04/06/2002;17,91;
05/06/2002;17,844;
06/06/2002;17,877;
07/06/2002;18,627;
08/06/2002;
09/06/2002;
10/06/2002;18,118;
11/06/2002;18,212;
12/06/2002;19,441;
13/06/2002;18,716;
14/06/2002;18,984;
15/06/2002;
16/06/2002;
17/06/2002;18,642;
18/06/2002;18,527;
19/06/2002;18,596;
20/06/2002;18,658;
21/06/2002;18,947;
22/06/2002;
23/06/2002;
24/06/2002;18,797;
25/06/2002;18,61;
26/06/2002;18,526;
