data;"inflação_ipca "
1980.01;"6.62"
1980.02;"4.62"
1980.03;"6.04"
1980.04;"5.29"
1980.05;"5.70"
1980.06;"5.31"
1980.07;"5.55"
1980.08;"4.95"
1980.09;"4.23"
1980.10;"9.48"
1980.11;"6.67"
1980.12;"6.61"
1981.01;"6.84"
1981.02;"6.40"
1981.03;"4.97"
1981.04;"6.46"
1981.05;"5.56"
1981.06;"5.52"
1981.07;"6.26"
1981.08;"5.50"
1981.09;"5.26"
1981.10;"5.08"
1981.11;"5.27"
1981.12;"5.93"
1982.01;"6.97"
1982.02;"6.64"
1982.03;"5.71"
1982.04;"5.89"
1982.05;"6.66"
1982.06;"7.10"
1982.07;"6.36"
1982.08;"5.97"
1982.09;"5.08"
1982.10;"4.44"
1982.11;"5.29"
1982.12;"7.81"
1983.01;"8.64"
1983.02;"7.86"
1983.03;"7.34"
1983.04;"6.58"
1983.05;"6.48"
1983.06;"9.88"
1983.07;"10.08"
1983.08;"9.11"
1983.09;"10.30"
1983.10;"8.87"
1983.11;"7.38"
1983.12;"8.68"
1984.01;"9.67"
1984.02;"9.50"
1984.03;"8.94"
1984.04;"9.54"
1984.05;"9.05"
1984.06;"10.08"
1984.07;"9.72"
1984.08;"9.35"
1984.09;"11.75"
1984.10;"10.44"
1984.11;"10.53"
1984.12;"11.98"
1985.01;"11.76"
1985.02;"10.87"
1985.03;"10.16"
1985.04;"8.20"
1985.05;"7.20"
1985.06;"8.49"
1985.07;"10.31"
1985.08;"12.05"
1985.09;"11.12"
1985.10;"10.62"
1985.11;"13.97"
1985.12;"15.07"
1986.01;"14.37"
1986.02;"12.72"
1986.03;"4.77"
1986.04;"0.78"
1986.05;"1.40"
1986.06;"1.27"
1986.07;"1.71"
1986.08;"3.55"
1986.09;"1.72"
1986.10;"1.90"
1986.11;"5.45"
1986.12;"11.65"
1987.01;"13.21"
1987.02;"12.64"
1987.03;"16.37"
1987.04;"19.10"
1987.05;"21.45"
1987.06;"19.71"
1987.07;"9.21"
1987.08;"4.87"
1987.09;"7.78"
1987.10;"11.22"
1987.11;"15.08"
1987.12;"14.15"
1988.01;"18.89"
1988.02;"15.70"
1988.03;"17.60"
1988.04;"19.29"
1988.05;"17.42"
1988.06;"22.00"
1988.07;"21.91"
1988.08;"21.59"
1988.09;"27.45"
1988.10;"25.62"
1988.11;"27.94"
1988.12;"28.70"
1989.01;"37.49"
1989.02;"16.78"
1989.03;"6.82"
1989.04;"8.33"
1989.05;"17.92"
1989.06;"28.65"
1989.07;"27.74"
1989.08;"33.71"
1989.09;"37.56"
1989.10;"39.77"
1989.11;"47.82"
1989.12;"51.50"
1990.01;"67.55"
1990.02;"75.73"
1990.03;"82.39"
1990.04;"15.52"
1990.05;"7.59"
1990.06;"11.75"
1990.07;"12.92"
1990.08;"12.88"
1990.09;"14.41"
1990.10;"14.36"
1990.11;"16.81"
1990.12;"18.44"
1991.01;"20.75"
1991.02;"20.72"
1991.03;"11.92"
1991.04;"4.99"
1991.05;"7.43"
1991.06;"11.19"
1991.07;"12.41"
1991.08;"15.63"
1991.09;"15.63"
1991.10;"20.23"
1991.11;"25.21"
1991.12;"23.71"
1992.01;"25.94"
1992.02;"24.32"
1992.03;"21.40"
1992.04;"19.93"
1992.05;"24.86"
1992.06;"20.21"
1992.07;"21.83"
1992.08;"22.14"
1992.09;"24.63"
1992.10;"25.24"
1992.11;"22.49"
1992.12;"25.24"
1993.01;"30.35"
1993.02;"24.98"
1993.03;"27.26"
1993.04;"27.75"
1993.05;"27.69"
1993.06;"30.07"
1993.07;"30.72"
1993.08;"32.96"
1993.09;"35.69"
1993.10;"33.92"
1993.11;"35.56"
1993.12;"36.84"
1994.01;"41.31"
