"data";"selic";"data.1";"ipca";"data.2";"Nivel_emprego"
"313";2000.01;"1,4557";2000.01;0.62;2000.01;83.5899
"314";2000.02;"1,4509";2000.02;0.13;2000.02;83.9644
"315";2000.03;"1,4493";2000.03;0.22;2000.03;84.3555
"316";2000.04;"1,2957";2000.04;0.42;2000.04;84.7383
"317";2000.05;"1,4939";2000.05;0.01;2000.05;85.2459
"318";2000.06;"1,3917";2000.06;0.23;2000.06;86.0281
"319";2000.07;"1,3060";2000.07;1.61;2000.07;86.2029
"320";2000.08;"1,4054";2000.08;1.31;2000.08;86.594
"321";2000.09;"1,2236";2000.09;0.23;2000.09;87.0683
"322";2000.1;"1,2878";2000.1;0.14;2000.1;87.6092
"323";2000.11;"1,2199";2000.11;0.32;2000.11;87.268
"324";2000.12;"1,1982";2000.12;0.59;2000.12;86.0864
"325";2001.01;"1,2651";2001.01;0.57;2001.01;86.6855
"326";2001.02;"1,0158";2001.02;0.46;2001.02;87.1349
"327";2001.03;"1,2579";2001.03;0.38;2001.03;87.4927
"328";2001.04;"1,1864";2001.04;0.58;2001.04;87.8422
"329";2001.05;"1,3368";2001.05;0.41;2001.05;88.3166
"330";2001.06;"1,2733";2001.06;0.52;2001.06;88.8242
"331";2001.07;"1,4980";2001.07;1.33;2001.07;88.9823
"332";2001.08;"1,6000";2001.08;0.7;2001.08;88.9323
"333";2001.09;"1,3243";2001.09;0.28;2001.09;89.0239
"334";2001.1;"1,5349";2001.1;0.83;2001.1;89.2735
"335";2001.11;"1,3934";2001.11;0.71;2001.11;88.8158
"336";2001.12;"1,3935";2001.12;0.65;2001.12;87.4844
"337";2002.01;"1,5340";2002.01;0.52;2002.01;87.7008
"338";2002.02;"1,2482";2002.02;0.36;2002.02;88.0752
"339";2002.03;"1,3713";2002.03;0.6;2002.03;88.2666
"340";2002.04;"1,4836";2002.04;0.8;2002.04;88.8075
"341";2002.05;"1,4150";2002.05;0.21;2002.05;89.3235
"342";2002.06;"1,3290";2002.06;0.42;2002.06;89.7978
"343";2002.07;"1,5354";2002.07;1.19;2002.07;89.9226
