Data;Produção - ref. 2010 - R$ (milhões)  - Instituto Brasileiro de Geografia e Estatística, Sistema de Contas Nacionais Referência 2010 (IBGE/SCN 2010 Anual) - SCN10_VBPN10 - ;Taxa de investimento - preços correntes - ref. 2010 - (% PIB) - Instituto Brasileiro de Geografia e Estatística, Sistema de Contas Nacionais Referência 2010 (IBGE/SCN 2010 Anual) - SCN10_FBKFPIBV10 - 
2000;2.087.736,76;18,30
2001;2.321.429,37;18,42
2002;2.649.562,38;17,93
2003;3.147.295,78;16,60
2004;3.599.570,91;17,32
2005;3.982.323,74;17,06
2006;4.339.197,04;17,21
2007;4.858.731,83;18,00
2008;5.588.058,66;19,39
2009;5.800.044,39;19,10
2010;6.599.149,00;20,53
2011;7.438.007,00;20,61
2012;8.223.178,00;20,72
2013;9.105.053,00;20,91
2014;9.887.604,00;19,87
2015;10.226.869,00;17,84
