"data" "inflação_ipca."
"241" 2000.01 "0,62"
"242" 2000.02 "0,13"
"243" 2000.03 "0,22"
"244" 2000.04 "0,42"
"245" 2000.05 "0,01"
"246" 2000.06 "0,23"
"247" 2000.07 "1,61"
"248" 2000.08 "1,31"
"249" 2000.09 "0,23"
"250" 2000.1 "0,14"
"251" 2000.11 "0,32"
"252" 2000.12 "0,59"
"253" 2001.01 "0,57"
"254" 2001.02 "0,46"
"255" 2001.03 "0,38"
"256" 2001.04 "0,58"
"257" 2001.05 "0,41"
"258" 2001.06 "0,52"
"259" 2001.07 "1,33"
"260" 2001.08 "0,70"
"261" 2001.09 "0,28"
"262" 2001.1 "0,83"
"263" 2001.11 "0,71"
"264" 2001.12 "0,65"
"265" 2002.01 "0,52"
"266" 2002.02 "0,36"
"267" 2002.03 "0,60"
"268" 2002.04 "0,80"
"269" 2002.05 "0,21"
"270" 2002.06 "0,42"
"271" 2002.07 "1,19"
"272" 2002.08 "0,65"
"273" 2002.09 "0,72"
"274" 2002.1 "1,31"
"275" 2002.11 "3,02"
"276" 2002.12 "2,10"
"277" 2003.01 "2,25"
"278" 2003.02 "1,57"
"279" 2003.03 "1,23"
"280" 2003.04 "0,97"
"281" 2003.05 "0,61"
"282" 2003.06 "-0,15"
"283" 2003.07 "0,20"
"284" 2003.08 "0,34"
"285" 2003.09 "0,78"
"286" 2003.1 "0,29"
"287" 2003.11 "0,34"
"288" 2003.12 "0,52"
"289" 2004.01 "0,76"
"290" 2004.02 "0,61"
"291" 2004.03 "0,47"
"292" 2004.04 "0,37"
"293" 2004.05 "0,51"
"294" 2004.06 "0,71"
"295" 2004.07 "0,91"
"296" 2004.08 "0,69"
"297" 2004.09 "0,33"
"298" 2004.1 "0,44"
"299" 2004.11 "0,69"
"300" 2004.12 "0,86"
"301" 2005.01 "0,58"
"302" 2005.02 "0,59"
"303" 2005.03 "0,61"
"304" 2005.04 "0,87"
"305" 2005.05 "0,49"
"306" 2005.06 "-0,02"
"307" 2005.07 "0,25"
"308" 2005.08 "0,17"
"309" 2005.09 "0,35"
"310" 2005.1 "0,75"
"311" 2005.11 "0,55"
"312" 2005.12 "0,36"
"313" 2006.01 "0,59"
"314" 2006.02 "0,41"
"315" 2006.03 "0,43"
"316" 2006.04 "0,21"
"317" 2006.05 "0,10"
"318" 2006.06 "-0,21"
"319" 2006.07 "0,19"
"320" 2006.08 "0,05"
"321" 2006.09 "0,21"
"322" 2006.1 "0,33"
"323" 2006.11 "0,31"
"324" 2006.12 "0,48"
"325" 2007.01 "0,44"
"326" 2007.02 "0,44"
"327" 2007.03 "0,37"
"328" 2007.04 "0,25"
"329" 2007.05 "0,28"
"330" 2007.06 "0,28"
"331" 2007.07 "0,24"
"332" 2007.08 "0,47"
"333" 2007.09 "0,18"
"334" 2007.1 "0,30"
"335" 2007.11 "0,38"
"336" 2007.12 "0,74"
"337" 2008.01 "0,54"
"338" 2008.02 "0,49"
"339" 2008.03 "0,48"
"340" 2008.04 "0,55"
"341" 2008.05 "0,79"
"342" 2008.06 "0,74"
"343" 2008.07 "0,53"
"344" 2008.08 "0,28"
"345" 2008.09 "0,26"
"346" 2008.1 "0,45"
"347" 2008.11 "0,36"
"348" 2008.12 "0,28"
"349" 2009.01 "0,48"
"350" 2009.02 "0,55"
"351" 2009.03 "0,20"
"352" 2009.04 "0,48"
"353" 2009.05 "0,47"
"354" 2009.06 "0,36"
"355" 2009.07 "0,24"
"356" 2009.08 "0,15"
"357" 2009.09 "0,24"
"358" 2009.1 "0,28"
"359" 2009.11 "0,41"
"360" 2009.12 "0,37"
"361" 2010.01 "0,75"
"362" 2010.02 "0,78"
"363" 2010.03 "0,52"
"364" 2010.04 "0,57"
"365" 2010.05 "0,43"
"366" 2010.06 "0,00"
"367" 2010.07 "0,01"
"368" 2010.08 "0,04"
"369" 2010.09 "0,45"
"370" 2010.1 "0,75"
"371" 2010.11 "0,83"
"372" 2010.12 "0,63"
"373" 2011.01 "0,83"
"374" 2011.02 "0,80"
"375" 2011.03 "0,79"
"376" 2011.04 "0,77"
"377" 2011.05 "0,47"
"378" 2011.06 "0,15"
"379" 2011.07 "0,16"
"380" 2011.08 "0,37"
"381" 2011.09 "0,53"
"382" 2011.1 "0,43"
"383" 2011.11 "0,52"
"384" 2011.12 "0,50"
"385" 2012.01 "0,56"
"386" 2012.02 "0,45"
"387" 2012.03 "0,21"
"388" 2012.04 "0,64"
"389" 2012.05 "0,36"
"390" 2012.06 "0,08"
"391" 2012.07 "0,43"
"392" 2012.08 "0,41"
"393" 2012.09 "0,57"
"394" 2012.1 "0,59"
"395" 2012.11 "0,60"
"396" 2012.12 "0,79"
"397" 2013.01 "0,86"
"398" 2013.02 "0,60"
"399" 2013.03 "0,47"
"400" 2013.04 "0,55"
"401" 2013.05 "0,37"
"402" 2013.06 "0,26"
"403" 2013.07 "0,03"
"404" 2013.08 "0,24"
"405" 2013.09 "0,35"
"406" 2013.1 "0,57"
"407" 2013.11 "0,54"
"408" 2013.12 "0,92"
"409" 2014.01 "0,55"
"410" 2014.02 "0,69"
"411" 2014.03 "0,92"
"412" 2014.04 "0,67"
"413" 2014.05 "0,46"
"414" 2014.06 "0,40"
"415" 2014.07 "0,01"
"416" 2014.08 "0,25"
"417" 2014.09 "0,57"
"418" 2014.1 "0,42"
"419" 2014.11 "0,51"
"420" 2014.12 "0,78"
"421" 2015.01 "1,24"
"422" 2015.02 "1,22"
"423" 2015.03 "1,32"
"424" 2015.04 "0,71"
"425" 2015.05 "0,74"
"426" 2015.06 "0,79"
"427" 2015.07 "0,62"
"428" 2015.08 "0,22"
"429" 2015.09 "0,54"
"430" 2015.1 "0,82"
"431" 2015.11 "1,01"
"432" 2015.12 "0,96"
"433" 2016.01 "1,27"
"434" 2016.02 "0,90"
"435" 2016.03 "0,43"
"436" 2016.04 "0,61"
"437" 2016.05 "0,78"
"438" 2016.06 "0,35"
"439" 2016.07 "0,52"
"440" 2016.08 "0,44"
"441" 2016.09 "0,08"
"442" 2016.1 "0,26"
"443" 2016.11 "0,18"
"444" 2016.12 "0,30"
"445" 2017.01 "0,38"
"446" 2017.02 "0,33"
"447" 2017.03 "0,25"
"448" 2017.04 "0,14"
"449" 2017.05 "0,31"
"450" 2017.06 "-0,23"
"451" 2017.07 "0,24"
"452" 2017.08 "0,19"
"453" 2017.09 "0,16"
"454" 2017.1 "0,42"
"455" 2017.11 "0,28"
"456" 2017.12 "0,44"
"457" 2018.01 "0,29"
"458" 2018.02 "0,32"
