"data" "Nivel_emprego"
"229" 2000.01 "83,5899"
"230" 2000.02 "83,9644"
"231" 2000.03 "84,3555"
"232" 2000.04 "84,7383"
"233" 2000.05 "85,2459"
"234" 2000.06 "86,0281"
"235" 2000.07 "86,2029"
"236" 2000.08 "86,5940"
"237" 2000.09 "87,0683"
"238" 2000.1 "87,6092"
"239" 2000.11 "87,2680"
"240" 2000.12 "86,0864"
"241" 2001.01 "86,6855"
"242" 2001.02 "87,1349"
"243" 2001.03 "87,4927"
"244" 2001.04 "87,8422"
"245" 2001.05 "88,3166"
"246" 2001.06 "88,8242"
"247" 2001.07 "88,9823"
"248" 2001.08 "88,9323"
"249" 2001.09 "89,0239"
"250" 2001.1 "89,2735"
"251" 2001.11 "88,8158"
"252" 2001.12 "87,4844"
