"data" "selic"
"313" 2000.01 "1,4557"
"314" 2000.02 "1,4509"
"315" 2000.03 "1,4493"
"316" 2000.04 "1,2957"
"317" 2000.05 "1,4939"
"318" 2000.06 "1,3917"
"319" 2000.07 "1,3060"
"320" 2000.08 "1,4054"
"321" 2000.09 "1,2236"
"322" 2000.1 "1,2878"
"323" 2000.11 "1,2199"
"324" 2000.12 "1,1982"
"325" 2001.01 "1,2651"
"326" 2001.02 "1,0158"
"327" 2001.03 "1,2579"
"328" 2001.04 "1,1864"
"329" 2001.05 "1,3368"
"330" 2001.06 "1,2733"
"331" 2001.07 "1,4980"
"332" 2001.08 "1,6000"
"333" 2001.09 "1,3243"
"334" 2001.1 "1,5349"
"335" 2001.11 "1,3934"
"336" 2001.12 "1,3935"
