"data" "selic"
 2000.01 "1,4557"
 2000.02 "1,4509"
 2000.03 "1,4493"
 2000.04 "1,2957"
 2000.05 "1,4939"
 2000.06 "1,3917"
 2000.07 "1,3060"
 2000.08 "1,4054"
 2000.09 "1,2236"
 2000.10 "1,2878"
 2000.11 "1,2199"
 2000.12 "1,1982"
 2001.01 "1,2651"
 2001.02 "1,0158"
 2001.03 "1,2579"
 2001.04 "1,1864"
 2001.05 "1,3368"
 2001.06 "1,2733"
 2001.07 "1,4980"
 2001.08 "1,6000"
 2001.09 "1,3243"
 2001.1 "1,5349"
 2001.11 "1,3934"
 2001.12 "1,3935"
 2002.01 "1,5340"
 2002.02 "1,2482"
 2002.03 "1,3713"
 2002.04 "1,4836"
 2002.05 "1,4150"
 2002.06 "1,3290"
 2002.07 "1,5354"
 2002.08 "1,4434"
 2002.09 "1,3813"
 2002.10 "1,6459"
 2002.11 "1,5409"
 2002.12 "1,7424"
 2003.01 "1,9713"
 2003.02 "1,8304"
 2003.03 "1,7770"
 2003.04 "1,8716"
 2003.05 "1,9654"
 2003.06 "1,8567"
 2003.07 "2,0842"
 2003.08 "1,7743"
 2003.09 "1,6795"
 2003.10 "1,6421"
 2003.11 "1,3435"
 2003.12 "1,3733"
 2004.01 "1,2676"
 2004.02 "1,0844"
 2004.03 "1,3791"
 2004.04 "1,1819"
 2004.05 "1,2278"
 2004.06 "1,2299"
 2004.07 "1,2869"
 2004.08 "1,2936"
 2004.09 "1,2513"
 2004.10 "1,2132"
 2004.11 "1,2510"
 2004.12 "1,4828"
 2005.01 "1,3839"
 2005.02 "1,2182"
 2005.03 "1,5282"
 2005.04 "1,4115"
 2005.05 "1,5031"
 2005.06 "1,5856"
 2005.07 "1,5113"
 2005.08 "1,6585"
 2005.09 "1,5031"
 2005.10 "1,4072"
 2005.11 "1,3810"
 2005.12 "1,4736"
 2006.01 "1,4293"
 2006.02 "1,1451"
 2006.03 "1,4223"
 2006.04 "1,0779"
 2006.05 "1,2814"
 2006.06 "1,1844"
 2006.07 "1,1700"
 2006.08 "1,2563"
 2006.09 "1,0573"
 2006.10 "1,0942"
 2006.11 "1,0206"
 2006.12 "0,9879"
 2007.01 "1,0828"
 2007.02 "0,8725"
 2007.03 "1,0522"
 2007.04 "0,9448"
 2007.05 "1,0281"
 2007.06 "0,9056"
 2007.07 "0,9726"
 2007.08 "0,9926"
 2007.09 "0,8050"
 2007.10 "0,9295"
 2007.11 "0,8447"
 2007.12 "0,8447"
 2008.01 "0,9294"
 2008.02 "0,8022"
 2008.03 "0,8446"
 2008.04 "0,9014"
 2008.05 "0,8768"
 2008.06 "0,9556"
 2008.07 "1,0697"
 2008.08 "1,0177"
 2008.09 "1,1031"
 2008.10 "1,1759"
 2008.11 "1,0200"
 2008.12 "1,1241"
 2009.01 "1,0478"
 2009.02 "0,8551"
 2009.03 "0,9709"
 2009.04 "0,8396"
 2009.05 "0,7709"
 2009.06 "0,7622"
 2009.07 "0,7901"
 2009.08 "0,6937"
 2009.09 "0,6937"
 2009.10 "0,6937"
 2009.11 "0,6600"
